Linux 5.4.0-132-generic (ku1rpaaxv008.kunet.ae) 	01/31/23 	_x86_64_	(8 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:25:01          4      3.04      0.00      0.52      0.01      0.00      0.00      0.00      0.00      0.00     96.43
12:25:01          5      1.09      0.11      0.21      0.00      0.00      0.00      0.00      0.00      0.00     98.59
12:25:01          6      0.55      0.00      0.10      0.00      0.00      0.00      0.00      0.00      0.00     99.36
12:25:01          7      0.63      0.00      0.13      0.04      0.00      0.00      0.00      0.00      0.00     99.20
12:35:01        all      0.79      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     99.06
12:35:01          0      1.20      0.00      0.21      0.00      0.00      0.00      0.00      0.00      0.00     98.59
12:35:01          1      0.15      0.00      0.04      0.01      0.00      0.00      0.00      0.00      0.00     99.81
12:35:01          2      0.18      0.00      0.04      0.00      0.00      0.00      0.00      0.00      0.00     99.78
12:35:01          3      0.12      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.82
12:35:01          4      2.83      0.00      0.47      0.00      0.00      0.00      0.00      0.00      0.00     96.70
12:35:01          5      0.50      0.00      0.09      0.00      0.00      0.00      0.00      0.00      0.00     99.42
12:35:01          6      0.90      0.00      0.16      0.00      0.00      0.00      0.00      0.00      0.00     98.94
12:35:01          7      0.47      0.00      0.10      0.00      0.00      0.00      0.00      0.00      0.00     99.43
12:45:01        all      0.79      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.05
12:45:01          0      1.15      0.00      0.21      0.00      0.00      0.00      0.00      0.00      0.00     98.64
12:45:01          1      0.17      0.00      0.04      0.01      0.00      0.00      0.00      0.00      0.00     99.78
12:45:01          2      0.25      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.70
12:45:01          3      0.06      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.89
12:45:01          4      2.83      0.00      0.54      0.00      0.00      0.00      0.00      0.00      0.00     96.64
12:45:01          5      0.08      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.90
12:45:01          6      1.49      0.00      0.25      0.00      0.00      0.00      0.00      0.00      0.00     98.26
12:45:01          7      0.32      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.62

12:45:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
12:55:01        all      0.79      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.05
12:55:01          0      0.62      0.00      0.10      0.00      0.00      0.00      0.00      0.00      0.00     99.28
